811,817,832
823,816,801
844,842,832
766,790,770
699,716,711
689,701,676
127,125,108
120,127,108
127,120,145
92,120,108
725,744,722
131,107,125
35,51,26
15,1,0
23,22,7
120,135,145
129,150,138
29,11,27
334,360,349
360,334,347
334,321,347
420,406,434
447,433,421
433,407,421
226,210,206
226,239,210
226,258,239
146,136,121
247,231,260
231,246,260
246,231,217
329,313,340
313,329,300
735,745,716
757,773,749
752,731,727
602,598,573
134,143,156
518,538,544
538,518,511
834,846,844
834,844,832
817,834,832
827,803,811
827,811,832
842,827,832
811,798,817
706,718,728
694,706,687
706,694,718
744,741,770
741,766,770
725,741,744
521,548,536
508,521,536
688,699,711
61,101,84
125,101,108
101,107,84
107,101,125
92,105,120
105,135,120
60,47,33
689,705,701
701,705,722
705,725,722
682,705,689
773,761,749
761,735,749
735,761,745
716,733,711
745,733,716
778,747,762
747,736,762
721,747,730
747,721,736
712,721,697
721,712,736
78,50,70
81,93,65
14,1,15
1,14,3
17,14,30
14,17,3
86,58,74
46,58,73
58,86,73
11,9,27
9,22,27
22,9,7
17,5,3
5,23,7
5,17,23
19,34,12
201,178,186
136,111,121
117,129,138
22,39,27
46,39,23
39,22,23
86,100,115
100,86,74
89,100,74
56,62,85
38,56,31
62,56,38
29,18,11
18,41,25
18,29,41
91,63,73
63,46,73
63,39,46
372,360,347
372,358,383
358,372,347
323,334,349
337,323,349
323,337,311
308,321,334
323,308,334
420,394,406
394,381,406
627,597,615
444,436,423
407,396,421
419,407,433
406,419,434
250,235,232
264,250,232
294,308,281
308,294,321
141,134,156
126,146,121
126,117,138
239,225,210
225,202,210
225,246,217
202,225,217
150,161,138
179,195,169
195,202,217
195,179,202
367,391,378
390,364,378
354,367,341
354,329,340
329,354,341
286,313,300
313,325,340
337,325,311
287,274,300
274,247,260
286,274,260
274,286,300
769,774,795
782,769,795
710,703,727
731,710,727
839,821,837
166,177,156
143,166,156
196,174,191
339,326,353
199,192,177
144,137,160
192,165,177
177,165,156
165,141,156
141,165,151
165,176,151
176,165,192
283,296,267
296,280,267
528,538,511
528,508,536
518,492,511
652,628,643
548,562,536
565,572,544
538,565,544
810,834,817
798,810,817
840,827,842
825,808,803
827,825,803
840,825,827
825,840,838
757,783,773
783,798,773
783,810,798
783,757,765
673,694,687
718,709,730
694,709,718
709,721,730
721,709,697
816,794,801
740,718,730
718,740,728
766,777,790
794,777,767
688,678,699
168,178,155
178,168,186
168,164,186
164,180,186
180,173,193
157,127,145
173,157,145
